IsRecordComplete_(Yes_No_Inactive_InProgress), LastDateUpdated Date,Organization,Address,City,State ,Zip,County,ResourceType,Department,ContactPerson,ContactPersonPhone,ContactPersonEmail,GeneralConactName_Department,GeneralConactPhone,Website,LastContactDate,CurrentStatus,Notes,ResourceDescription,Eligibility_(What_do_I_need_to_have_to_Qualify_for_benefit?),Apply_(How_do_I Apply_to_get_the_benefit?)
In Progress,,"Sandhills Children Center, Inc.",1280 Central Drive ,Southern Pines,North Carolina,28387,Moore,Children's Services,,Erin Newcome,,enewcomb@sandhillschildrenscenter.org,,,https://www.sandhillschildrenscenter.org/,10-15-25,,,"Non-profit day school for children ages 0-5 with or without special development needs. Provides: educationnal, health care, therapetic services, physical disabilities and more/transportation is provided for all children with disabilities",,
In Progress,,Project Linus,Southern Pines NC 28387,Southern Pines,North Carolina,28387,Moore,Children's Services,,Pat Weber,,,,,https://www.southernpines.net/,10-15-25,,Contact the Moore County Salvation Army ,"Donates hand-made blankets and quilts to children who are seriously ill, traumatized or have special needs/Salvation Army is the contact point",,
in progress ^,,Odum Home,676 Hight Road,Aberdeen,North Carolina,28315,Robeson,Children's Services,,Kathy Locklear,,,,,www.odumhome.org,,,,School age children are given the opportunity to overcome personal & family problems while the staff works to preserve or reunite families,,
No,,Care Cordination for Children (CC4C) Moore Co Health Dept,705 Pinehurst Ave.,Carthage,North Carolina,28327,Moore,Children's Services,,,,,,,,,, ,Free service:Birth-5 years old to ensure children are raised in  a healthy/safe environment/can help find medical care/transportation/childcare and or financial aide,,
In Progress,,Partnership for Children ,351 Wagoner Drive,Fayetteville,North Carolina,28303, cumberland,Children's Services,,Receptionist ,(910) 867-9700,,,,ccpfc.org,,,,"Provide resources,support and Program that improve families ",,
further research,,The Baby Store -MUST BE A WIC RECIPIENT TO ATTEND THE BABY STORE,1235 Ramsey St.,Fayetteville,North Carolina,28301,Cumberland ,Children's Services,,Receptionist ,910-433-3600,,,,,,,,"Provide baby clothing , Public Health Department 2nd Floor Ramsey Street ",,
futher research,,Foster Parent Mentor Program,530 Carthage Street Sanford  NC  27330,Sanford,North Carolina,27330,Lee,Children's Services,,Amber Chakeris,,,,,,,,"June 21, 7-7:45 pm Zoom RSVP for Zoom Login",Learn to be Mentor for Foster Childern/If you can not open your home to be a Foster Parent you can become a Mentor up to age 21,,
in progress,,Headstart (Action Pathways) 2130 extension,5135 Morganton Rd. Fayetteville NC 28314,Fayetteville,North Carolina,28314,Cumberland/Sampson,Children's Services,,robin Harris,"cumberland:910) 223-0116 Aspire:(910) 249-4805

",robin.harris@actionpathways.ngo,,,https://actionpathways.ngo/,,,Action Pathways has 4 programs,Prepare children with essential skills needed to enter public school/free to eligible participants,,
No,,The Arc of Moore County,673 S. Bennett St. Southern Pines NC 28388,Southern Pines,North Carolina,28388,Moore,Disability Programs,,Intake Specialist,,,,,,,,,"Provides respite care and quality care for the individual with a disability while giving family members short-term relief, they also will come to a home on an hourly basis are as needed to provide care in the home. NC 211 is an informative and referral service provided by United Way of NC",,
No,,Monarch Creative Arts & Community Center,"1662 Richards Street, Southern Pines 28387",Southern Pines,North Carolina,28387,Moore,Disability Programs,,Intake Specialist,,referral@monarchnc.org,,,havenlee.org,,,,A day program in Southern Pines supporting adults with intellectual & developmental disabilities in the Sandhills Region of NC,,
